iter	RMSE
0	10.85937936
1	10.26450852
2	9.7667273
3	9.344442453
4	8.941934358
5	8.604792554
6	8.306457235
7	8.060466121
8	7.859769971
9	7.67432215
10	7.520587198
11	7.388523027
12	7.27564703
13	7.179174761
14	7.092642126
15	7.019767429
16	6.965067637
17	6.918996017
18	6.867569696
19	6.82464879
20	6.787381205
21	6.755017899
22	6.72507619
23	6.693177678
24	6.667414804
25	6.648584785
26	6.626303654
27	6.602265268
28	6.581546982
29	6.561504738
30	6.542465977
31	6.530329341
32	6.519227244
33	6.504980956
34	6.494550052
35	6.481488942
36	6.472329532
37	6.461875421
38	6.453948737
39	6.444727529
40	6.433238433
41	6.42093714
42	6.411775448
43	6.407349903
44	6.395836879
45	6.391357472
46	6.385278634
47	6.376483798
48	6.368354811
49	6.360613926
50	6.353144093
51	6.3486298
52	6.3398863
53	6.332455835
54	6.32674073
55	6.318802798
56	6.315007064
57	6.309149431
58	6.302531092
59	6.295531134
60	6.290175317
61	6.281009836
62	6.275370683
63	6.268580544
64	6.264192747
65	6.254508043
66	6.248004994
67	6.24328291
68	6.235979351
69	6.23041695
70	6.220935292
71	6.215407254
72	6.20865425
73	6.199130919
74	6.19364489
75	6.187843867
76	6.179631276
77	6.171398
78	6.165120175
79	6.159980052
80	6.155056264
81	6.14697828
82	6.1433409
83	6.138676363
84	6.133699278
85	6.124994004
86	6.119669076
87	6.111902752
88	6.106759293
89	6.099880933
90	6.089915246
91	6.082930061
92	6.079495396
93	6.074596537
94	6.068493581
95	6.058325334
96	6.054480872
97	6.044175062
98	6.038453072
99	6.033262136
100	6.02652111
101	6.020774015
102	6.016900461
103	6.012403336
104	6.007341364
105	5.999843893
106	5.995758513
107	5.989199195
108	5.983625828
109	5.975075848
110	5.96831823
111	5.96024321
112	5.952977045
113	5.950282556
114	5.946392265
115	5.942177821
116	5.936570421
117	5.93182393
118	5.925064806
119	5.919876186
120	5.91422668
121	5.907642733
122	5.901356315
123	5.893799893
124	5.885810897
125	5.87915795
126	5.871778962
127	5.86830592
128	5.862105718
129	5.854073491
130	5.848197641
131	5.844752423
132	5.836951493
133	5.828809141
134	5.824000117
135	5.819500031
136	5.81516225
137	5.810713573
138	5.807124162
139	5.802653224
140	5.798038733
141	5.790221924
142	5.784018075
143	5.777193142
144	5.772719599
145	5.762480667
146	5.757858835
147	5.752874059
148	5.746527803
149	5.739984821
150	5.732457965
151	5.727785837
152	5.718961566
153	5.714329039
154	5.70991985
155	5.707137619
156	5.698362081
157	5.693031128
158	5.687390353
159	5.682481465
160	5.677045193
161	5.672380087
162	5.666676623
163	5.661780925
164	5.65778842
165	5.653903334
166	5.648812828
167	5.640670863
168	5.638169416
169	5.634861606
170	5.62957282
171	5.623654978
172	5.619057381
173	5.61282284
174	5.608652285
175	5.602901215
176	5.599239317
177	5.594844331
178	5.58876608
179	5.582079548
180	5.57634392
181	5.571933931
182	5.567655583
183	5.563117821
184	5.555646474
185	5.548574297
186	5.542004433
187	5.53729551
188	5.531912235
189	5.527217466
190	5.523276387
191	5.519015589
192	5.515572712
193	5.511362752
194	5.508091704
195	5.504087785
196	5.499435966
197	5.494998788
198	5.49169566
199	5.48589995
200	5.479738586
201	5.475889928
202	5.473611813
203	5.468075255
204	5.462900388
205	5.459511615
206	5.455577887
207	5.450876183
208	5.448294425
209	5.443642392
210	5.438728873
211	5.434926464
212	5.428817717
213	5.425166256
214	5.422045227
215	5.416947112
216	5.412094819
217	5.408419276
218	5.405158958
219	5.400724234
220	5.395485458
221	5.391322976
222	5.387086491
223	5.381356927
224	5.378486619
